,,,,,,,,,,,,,,,,,,,,,
"□ 조립 리드타임 실적 집계 (HN5010 이후, 16년 5월 이후)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,기본정보,,,,,,,,,기타 정보,,,,계획,실적,,,,,,
,팀,세부공정,선종,프로젝트,블럭,Ass'y,PCG,PCG명,업체명,Weight,길이(L),폭(B),높이(H),계획L/T,착수,완료,실적L/T,,,,
,조립1팀,대조립,114K PC,HN5017,E52P,,EL1,E/ROOM (L-TYPE),(유)예솔기업,84.8 ,16.0 ,15.0 ,5.0 ,12,2017/4/10,2017/5/12,21 ,,,,
,조립1팀,대조립,114K PC,HN5017,E52S,,EL1,E/ROOM (L-TYPE),(유)예솔기업,90.4 ,16.0 ,24.0 ,5.0 ,12,2017/4/14,2017/5/18,21 ,,,,
,조립1팀,대조립,114K PC,HN5017,F11C,,FB1,FORE BODY BOTTOM,(유)동성산업,120.2 ,17.0 ,26.0 ,4.0 ,16,2017/4/20,2017/5/29,24 ,,,,
,조립1팀,대조립,114K PC,HN5017,F41P,,FL2,FORE BODY B/MOUTH,(유)동성산업,157.4 ,19.0 ,17.0 ,8.0 ,18,2017/4/20,2017/5/26,23 ,,,,
,조립1팀,대조립,114K PC,HN5017,F41S,,FL2,FORE BODY B/MOUTH,(유)동성산업,172.5 ,19.0 ,17.0 ,8.0 ,18,2017/4/20,2017/5/29,24 ,,,,
,조립1팀,대조립,114K PC,HN5017,S18P,,CS2,S/SHELL (CURVE),(유)동성산업,193.1 ,20.0 ,16.0 ,8.0 ,17,2017/5/12,2017/5/31,14 ,,,,
,조립1팀,대조립,114K PC,HN5017,S18S,,CS2,S/SHELL (CURVE),(유)동성산업,192.9 ,20.0 ,16.0 ,8.0 ,17,2017/5/12,2017/5/31,14 ,,,,
,조립1팀,중조립,115K PC,HN5027,A21P,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 7.7, 15.4, 7.6,11 ,2017/5/17,2017/6/7,15 ,,,,
,조립1팀,중조립,115K PC,HN5027,A21S,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 7.7, 15.4, 7.6,11 ,2017/5/22,2017/6/7,12 ,,,,
,조립1팀,중조립,115K PC,HN5027,A22C,SS4A,AL3,RUDDER HORN,(유)예솔기업,, 9.2, 8.4, 4.3,15 ,2017/5/27,2017/6/7,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,A22C,SS4M,AL3,RUDDER HORN,(유)예솔기업,, 9.2, 8.4, 4.3,15 ,2017/5/27,2017/6/7,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,A22C,ET2,AL3,RUDDER HORN,(유)예솔기업,, 0.0, 0.0, 0.0,8 ,2017/5/30,2017/6/8,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,A22C,ET1,AL3,RUDDER HORN,(유)예솔기업,, 7.6, 5.5, 7.0,11 ,2017/5/25,2017/6/14,14 ,,,,
,조립1팀,중조립,115K PC,HN5027,B52P,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12 ,2017/6/8,2017/6/20,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,B52P,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12 ,2017/6/8,2017/6/20,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,B52S,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12 ,2017/6/9,2017/6/21,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,B52S,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12 ,2017/6/9,2017/6/21,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,B58S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/6/22,2017/6/30,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,B58S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/6/22,2017/6/30,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,E21P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10 ,2017/5/27,2017/6/15,13 ,,,,
,조립1팀,중조립,115K PC,HN5027,E21S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10 ,2017/5/30,2017/6/15,12 ,,,,
,조립1팀,중조립,115K PC,HN5027,E31P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10 ,2017/5/24,2017/6/7,10 ,,,,
,조립1팀,중조립,115K PC,HN5027,E31S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10 ,2017/5/24,2017/6/2,8 ,,,,
,조립1팀,중조립,115K PC,HN5027,E32P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14 ,2017/5/22,2017/6/9,14 ,,,,
,조립1팀,중조립,115K PC,HN5027,E32S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14 ,2017/5/27,2017/6/15,13 ,,,,
,조립1팀,중조립,115K PC,HN5027,E51S,TB50,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 16.3, 4.8, 2.8,8 ,2017/6/2,2017/6/13,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,E51S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.8, 4.7, 2.3,8 ,2017/5/30,2017/6/16,13 ,,,,
,조립1팀,중조립,115K PC,HN5027,E52P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.2, 5.0, 5.9,10 ,2017/5/27,2017/6/7,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,E52P,DK2,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 15.2, 7.2, 2.4,10 ,2017/5/30,2017/6/10,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,E52S,LB17,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.9, 4.8, 1.8,8 ,2017/6/8,2017/6/14,5 ,,,,
,조립1팀,중조립,115K PC,HN5027,E52S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.0, 5.0, 2.3,10 ,2017/6/8,2017/6/19,8 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41P,SS1,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10 ,2017/6/15,2017/6/28,10 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41P,SS2,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10 ,2017/6/15,2017/6/29,11 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41P,TB102,FL2,FORE BODY B/MOUTH,(유)다온기업(내업1공장),, 0.0, 0.0, 0.0,6 ,2017/6/23,2017/6/30,6 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41P,TB98,FL2,FORE BODY B/MOUTH,(유)다온기업(내업1공장),, 0.0, 0.0, 0.0,6 ,2017/6/23,2017/6/30,6 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41S,TB102,FL2,FORE BODY B/MOUTH,(유)다온기업(내업1공장),, 0.0, 0.0, 0.0,6 ,2017/6/23,2017/6/30,6 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41S,TB98,FL2,FORE BODY B/MOUTH,(유)다온기업(내업1공장),, 0.0, 0.0, 0.0,6 ,2017/6/23,2017/6/30,6 ,,,,
,조립1팀,중조립,115K PC,HN5027,S11S,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9 ,2017/5/30,2017/6/12,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,S19S,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 5.6, 15.8, 2.5,8 ,2017/6/15,2017/6/27,9 ,,,,
,조립1팀,중조립,115K PC,HN5027,S19S,LB2,CS2,S/SHELL (CURVE),(유)예솔기업,, 14.2, 15.8, 3.6,8 ,2017/6/15,2017/6/27,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,E11C,BS2B,EB1,E/R D/BOTTOM,(유)예솔기업,, 9.8, 5.8, 0.0,9 ,2017/6/5,2017/6/16,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,E11C,BS2N,EB1,E/R D/BOTTOM,(유)예솔기업,, 9.8, 5.8, 0.0,9 ,2017/6/5,2017/6/16,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,E11C,SS2A,EB1,E/R D/BOTTOM,(유)예솔기업,, 4.1, 2.8, 0.0,7 ,2017/6/12,2017/6/21,8 ,,,,
,조립1팀,중조립,115K PC,HN5028,E11C,SS2M,EB1,E/R D/BOTTOM,(유)예솔기업,, 4.1, 2.8, 0.0,7 ,2017/6/12,2017/6/21,8 ,,,,
,조립1팀,중조립,115K PC,HN5028,E11C,TT1,EB1,E/R D/BOTTOM,(유)동성산업,, 0.0, 0.0, 0.0,13 ,2017/6/16,2017/6/29,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,E12C,GR2,EB1,E/R D/BOTTOM,(유)예솔기업,, 0.0, 0.0, 0.0,10 ,2017/6/2,2017/6/15,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,E31P,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.8, 12.1, 6.3,6 ,2017/6/8,2017/6/14,5 ,,,,
,조립1팀,중조립,115K PC,HN5028,E31S,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.8, 12.1, 6.3,6 ,2017/6/8,2017/6/14,5 ,,,,
,조립1팀,중조립,115K PC,HN5028,E31S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10 ,2017/6/21,2017/6/30,8 ,,,,
,조립1팀,중조립,115K PC,HN5028,E32P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14 ,2017/6/12,2017/6/23,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,E32S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14 ,2017/6/14,2017/6/28,11 ,,,,
,조립1팀,중조립,115K PC,HN5018,E11C,SS2A,EB1,E/R D/BOTTOM,(유)예솔기업,, 4.1, 2.8, 0.0,7 ,2017/7/7,2017/7/17,7 ,,,,
,조립1팀,중조립,115K PC,HN5018,E11C,SS2M,EB1,E/R D/BOTTOM,(유)예솔기업,, 4.1, 2.8, 0.0,7 ,2017/7/7,2017/7/17,7 ,,,,
,조립1팀,중조립,115K PC,HN5018,E11C,BS2B,EB1,E/R D/BOTTOM,(유)예솔기업,, 9.8, 5.8, 0.0,9 ,2017/7/6,2017/7/18,9 ,,,,
,조립1팀,중조립,115K PC,HN5018,E11C,BS2N,EB1,E/R D/BOTTOM,(유)예솔기업,, 9.8, 5.8, 0.0,9 ,2017/7/6,2017/7/18,9 ,,,,
,조립1팀,중조립,115K PC,HN5018,E12C,GR2,EB1,E/R D/BOTTOM,(유)예솔기업,, 0.0, 0.0, 0.0,10 ,2017/7/6,2017/7/18,9 ,,,,
,조립1팀,중조립,115K PC,HN5018,E31P,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.8, 12.1, 6.3,6 ,2017/7/14,2017/7/25,8 ,,,,
,조립1팀,중조립,115K PC,HN5018,E31S,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.8, 12.1, 6.3,6 ,2017/7/14,2017/7/25,8 ,,,,
,조립1팀,중조립,115K PC,HN5018,E41P,LB15,EL1,E/ROOM (L-TYPE),(유)다온기업(내업1공장),, 12.3, 5.0, 5.5,6 ,2017/7/18,2017/7/25,6 ,,,,
,조립1팀,중조립,115K PC,HN5018,E41P,TB50,EL1,E/ROOM (L-TYPE),(유)다온기업(내업1공장),, 5.0, 14.3, 2.4,6 ,2017/7/19,2017/7/28,8 ,,,,
,조립1팀,중조립,115K PC,HN5018,E41S,LB15,EL1,E/ROOM (L-TYPE),(유)다온기업(내업1공장),, 16.3, 5.0, 5.0,6 ,2017/7/14,2017/7/20,5 ,,,,
,조립1팀,중조립,115K PC,HN5027,B58P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/7/3,2017/7/14,10 ,,,,
,조립1팀,중조립,115K PC,HN5027,B58P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/7/3,2017/7/14,10 ,,,,
,조립1팀,중조립,115K PC,HN5027,E91C,TB55B,ED3,E/ROOM BHD,(유)예솔기업,, 18.6, 14.1, 1.6,10 ,2017/6/28,2017/7/6,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,F11C,TB98B,FB1,FORE BODY BOTTOM,(유)동성산업,, 2.6, 11.5, 4.7,8 ,2017/7/11,2017/7/17,5 ,,,,
,조립1팀,중조립,115K PC,HN5027,F11C,TB98N,FB1,FORE BODY BOTTOM,(유)동성산업,, 2.6, 11.5, 4.7,8 ,2017/7/11,2017/7/17,5 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41S,SS1,FL2,FORE BODY B/MOUTH,(유)동성산업,, 0.0, 0.0, 0.0,10 ,2017/6/22,2017/7/18,19 ,,,,
,조립1팀,중조립,115K PC,HN5027,F41S,SS2,FL2,FORE BODY B/MOUTH,(유)동성산업,, 0.0, 0.0, 0.0,10 ,2017/6/22,2017/7/18,19 ,,,,
,조립1팀,중조립,115K PC,HN5027,S19P,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 5.6, 15.8, 2.5,8 ,2017/6/28,2017/7/6,7 ,,,,
,조립1팀,중조립,115K PC,HN5027,S19P,LB2,CS2,S/SHELL (CURVE),(유)예솔기업,, 14.2, 15.8, 3.6,8 ,2017/6/29,2017/7/6,6 ,,,,
,조립1팀,중조립,115K PC,HN5028,A21P,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 7.7, 15.4, 7.6,11 ,2017/7/4,2017/7/20,13 ,,,,
,조립1팀,중조립,115K PC,HN5028,A21S,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 7.7, 15.4, 7.6,11 ,2017/7/3,2017/7/19,13 ,,,,
,조립1팀,중조립,115K PC,HN5028,A22C,ET1A,AL3,RUDDER HORN,(유)예솔기업,, 8.3, 4.3, 3.6,11 ,2017/6/21,2017/7/4,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,A22C,ET2,AL3,RUDDER HORN,(유)예솔기업,, 0.0, 0.0, 0.0,8 ,2017/6/27,2017/7/6,8 ,,,,
,조립1팀,중조립,115K PC,HN5028,A22C,SS4A,AL3,RUDDER HORN,(유)예솔기업,, 9.2, 8.4, 4.3,15 ,2017/6/28,2017/7/10,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,A22C,SS4M,AL3,RUDDER HORN,(유)예솔기업,, 9.2, 8.4, 4.3,15 ,2017/6/28,2017/7/10,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,A22C,ET1,AL3,RUDDER HORN,(유)예솔기업,, 7.6, 5.5, 7.0,11 ,2017/6/29,2017/7/24,18 ,,,,
,조립1팀,중조립,115K PC,HN5028,B51P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 12.0, 3.9,12 ,2017/6/23,2017/7/5,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,B51P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12 ,2017/6/23,2017/7/10,12 ,,,,
,조립1팀,중조립,115K PC,HN5028,B51S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 12.0, 3.9,12 ,2017/7/6,2017/7/24,13 ,,,,
,조립1팀,중조립,115K PC,HN5028,B51S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12 ,2017/7/6,2017/7/24,13 ,,,,
,조립1팀,중조립,115K PC,HN5028,B52P,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12 ,2017/7/6,2017/7/24,13 ,,,,
,조립1팀,중조립,115K PC,HN5028,B52P,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12 ,2017/7/12,2017/7/24,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,E21P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10 ,2017/6/22,2017/7/4,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,E21S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10 ,2017/6/26,2017/7/7,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,E31P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10 ,2017/6/22,2017/7/3,8 ,,,,
,조립1팀,중조립,115K PC,HN5028,E41P,TB50,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 5.0, 14.3, 2.4,6 ,2017/6/29,2017/7/6,6 ,,,,
,조립1팀,중조립,115K PC,HN5028,E41P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10 ,2017/6/28,2017/7/12,11 ,,,,
,조립1팀,중조립,115K PC,HN5028,E41S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10 ,2017/6/22,2017/7/12,15 ,,,,
,조립1팀,중조립,115K PC,HN5028,E42P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10 ,2017/7/4,2017/7/17,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,E42S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10 ,2017/6/27,2017/7/11,11 ,,,,
,조립1팀,중조립,115K PC,HN5028,E51P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.9, 4.7, 2.3,8 ,2017/7/10,2017/7/28,15 ,,,,
,조립1팀,중조립,115K PC,HN5028,E51S,TB50,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 16.3, 4.8, 2.8,8 ,2017/7/19,2017/7/25,5 ,,,,
,조립1팀,중조립,115K PC,HN5028,E51S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.8, 4.7, 2.3,8 ,2017/7/10,2017/7/28,15 ,,,,
,조립1팀,중조립,115K PC,HN5028,E52P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.2, 5.0, 5.9,10 ,2017/7/6,2017/7/21,12 ,,,,
,조립1팀,중조립,115K PC,HN5028,E52S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.0, 5.0, 2.3,10 ,2017/7/11,2017/7/21,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,S11P,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9 ,2017/6/30,2017/7/13,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,S11S,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9 ,2017/7/8,2017/7/18,7 ,,,,
,조립1팀,중조립,115K PC,HN5028,S18P,TB91,CS2,S/SHELL (CURVE),(유)다온기업(내업1공장),, 5.2, 11.7, 6.6,7 ,2017/7/25,2017/7/28,4 ,,,,
,조립1팀,중조립,115K PC,HN5028,S18S,TB91,CS2,S/SHELL (CURVE),(유)다온기업(내업1공장),, 5.2, 11.7, 6.6,7 ,2017/7/24,2017/7/28,5 ,,,,
,조립1팀,중조립,115K PC,HN5018,A21P,TB14,AL4,AFT. DECK (R/HORN SIDE BLK),조립1팀,, 6.8, 13.7, 1.0,5 ,2017/8/8,2017/8/18,8 ,,,,
,조립1팀,중조립,115K PC,HN5018,A21S,TB14,AL4,AFT. DECK (R/HORN SIDE BLK),조립1팀,, 7.0, 13.9, 1.3,5 ,2017/8/8,2017/8/21,9 ,,,,
,조립1팀,중조립,115K PC,HN5018,A22C,ET1A,AL3,RUDDER HORN,(유)예솔기업,, 8.3, 4.3, 3.6,11 ,2017/8/7,2017/8/18,9 ,,,,
,조립1팀,중조립,115K PC,HN5018,B51P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12 ,2017/7/18,2017/8/9,12 ,,,,
,조립1팀,중조립,115K PC,HN5018,B51P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 12.0, 3.9,12 ,2017/7/19,2017/8/10,12 ,,,,
,조립1팀,중조립,115K PC,HN5018,B51S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12 ,2017/7/24,2017/8/14,11 ,,,,
,조립1팀,중조립,115K PC,HN5018,B51S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 12.0, 3.9,12 ,2017/7/25,2017/8/17,12 ,,,,
,조립1팀,중조립,115K PC,HN5018,B52P,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12 ,2017/8/10,2017/8/30,14 ,,,,
,조립1팀,중조립,115K PC,HN5018,B52P,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12 ,2017/8/15,2017/8/31,12 ,,,,
,조립1팀,중조립,115K PC,HN5018,B52S,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12 ,2017/8/22,2017/8/31,8 ,,,,
,조립1팀,중조립,115K PC,HN5018,E11C,TT1,EB1,E/R D/BOTTOM,(유)동성산업,, 0.0, 0.0, 0.0,13 ,2017/7/13,2017/8/7,13 ,,,,
,조립1팀,중조립,115K PC,HN5018,E21P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10 ,2017/7/26,2017/8/22,14 ,,,,
,조립1팀,중조립,115K PC,HN5018,E21S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10 ,2017/7/26,2017/8/22,14 ,,,,
,조립1팀,중조립,115K PC,HN5018,E31P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10 ,2017/7/24,2017/8/21,15 ,,,,
,조립1팀,중조립,115K PC,HN5018,E31S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10 ,2017/7/24,2017/8/21,15 ,,,,
,조립1팀,중조립,115K PC,HN5018,E32P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14 ,2017/7/24,2017/8/18,14 ,,,,
,조립1팀,중조립,115K PC,HN5018,E32S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14 ,2017/7/24,2017/8/21,15 ,,,,
,조립1팀,중조립,115K PC,HN5018,E41P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10 ,2017/7/21,2017/8/24,19 ,,,,
,조립1팀,중조립,115K PC,HN5018,E41S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10 ,2017/7/17,2017/8/18,19 ,,,,
,조립1팀,중조립,115K PC,HN5018,E42P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10 ,2017/7/26,2017/8/28,18 ,,,,
,조립1팀,중조립,115K PC,HN5018,E42S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10 ,2017/7/19,2017/8/11,13 ,,,,
,조립1팀,중조립,115K PC,HN5018,E51P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.9, 4.7, 2.3,8 ,2017/8/11,2017/8/29,12 ,,,,
,조립1팀,중조립,115K PC,HN5018,E51S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.8, 4.7, 2.3,8 ,2017/8/18,2017/8/30,9 ,,,,
,조립1팀,중조립,115K PC,HN5018,E51S,LB15,EL1,E/ROOM (L-TYPE),조립1팀,, 16.3, 4.9, 2.7,8 ,2017/8/23,2017/8/31,7 ,,,,
,조립1팀,중조립,115K PC,HN5018,E52P,DK2,EL1,E/ROOM (L-TYPE),조립1팀,, 15.2, 7.2, 2.4,10 ,2017/8/22,2017/8/29,6 ,,,,
,조립1팀,중조립,115K PC,HN5018,E52P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.2, 5.0, 5.9,10 ,2017/8/17,2017/8/31,11 ,,,,
,조립1팀,중조립,115K PC,HN5018,S11P,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9 ,2017/8/4,2017/8/28,15 ,,,,
,조립1팀,중조립,115K PC,HN5018,S11S,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9 ,2017/8/10,2017/8/30,14 ,,,,
,조립1팀,중조립,115K PC,HN5028,B52S,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12 ,2017/7/19,2017/8/7,9 ,,,,
,조립1팀,중조립,115K PC,HN5028,B52S,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12 ,2017/7/16,2017/8/7,11 ,,,,
,조립1팀,중조립,115K PC,HN5028,B58P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/8/14,2017/8/29,11 ,,,,
,조립1팀,중조립,115K PC,HN5028,B58P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/8/16,2017/8/29,10 ,,,,
,조립1팀,중조립,115K PC,HN5028,B58S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/8/8,2017/8/28,14 ,,,,
,조립1팀,중조립,115K PC,HN5028,B58S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12 ,2017/8/11,2017/8/28,11 ,,,,
,조립1팀,중조립,115K PC,HN5028,E91C,TB55B,ED3,E/ROOM BHD,(유)예솔기업,, 18.6, 14.1, 1.6,10 ,2017/8/15,2017/8/25,8 ,,,,
,조립1팀,중조립,115K PC,HN5028,F41P,TB102,FL2,FORE BODY B/MOUTH,조립1팀,, 0.0, 0.0, 0.0,6 ,2017/8/4,2017/8/11,5 ,,,,
,조립1팀,중조립,115K PC,HN5028,F41P,TB98,FL2,FORE BODY B/MOUTH,조립1팀,, 0.0, 0.0, 0.0,6 ,2017/8/4,2017/8/11,5 ,,,,
,조립1팀,중조립,115K PC,HN5028,F41P,SS1,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10 ,2017/7/26,2017/8/17,11 ,,,,
,조립1팀,중조립,115K PC,HN5028,F41P,SS2,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10 ,2017/7/26,2017/8/18,12 ,,,,
,조립1팀,중조립,115K PC,HN5028,F41S,TB102,FL2,FORE BODY B/MOUTH,조립1팀,, 0.0, 0.0, 0.0,6 ,2017/8/16,2017/8/24,7 ,,,,
,조립1팀,중조립,115K PC,HN5028,F41S,TB98,FL2,FORE BODY B/MOUTH,조립1팀,, 0.0, 0.0, 0.0,6 ,2017/8/16,2017/8/24,7 ,,,,
